"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-37-154",,,,"User:","root"
"Cmdline:","dstat --output dstat.dat -trdcnm 5",,,,"Date:","03 Jul 2014 12:39:13 UTC"

"system","io/total",,"dsk/total",,"total cpu usage",,,,,,"net/total",,"memory usage",,,
"time","read","writ","read","writ","usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free"
03-07 12:39:13,9.533,96.783,211338.583,1335540.896,0.628,0.277,94.827,4.228,0.039,0.0,0.0,0.0,261033984.0,618496.0,197890048.0,31104532480.0
03-07 12:39:18,2.800,0.0,0.0,0.0,0.025,0.0,99.975,0.0,0.0,0.0,62.400,565.600,260341760.0,618496.0,197828608.0,31105286144.0
03-07 12:39:23,0.0,0.400,0.0,5734.400,0.0,0.0,99.950,0.050,0.0,0.0,62.400,444.0,260333568.0,626688.0,197828608.0,31105286144.0
03-07 12:39:28,0.0,0.0,0.0,0.0,0.025,0.025,99.950,0.0,0.0,0.0,62.400,440.800,260333568.0,626688.0,197828608.0,31105286144.0
03-07 12:39:33,0.0,0.400,0.0,2457.600,0.0,0.0,99.975,0.025,0.0,0.0,60.0,432.0,260325376.0,634880.0,197828608.0,31105286144.0
03-07 12:39:38,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,52.0,418.0,260325376.0,634880.0,197828608.0,31105286144.0
03-07 12:39:43,95.600,2.0,1735065.600,11468.800,0.050,0.075,96.725,3.150,0.0,0.0,1363.800,2163.200,261156864.0,946176.0,207368192.0,31094603776.0
03-07 12:39:48,381.200,0.800,3253862.400,16384.0,0.350,0.250,90.670,8.704,0.025,0.0,55362.800,54758.800,261402624.0,954368.0,239390720.0,31062327296.0
03-07 12:39:53,408.800,0.0,3935436.800,0.0,0.450,0.275,91.721,7.529,0.025,0.0,74726.800,73562.0,261406720.0,954368.0,275161088.0,31026552832.0
03-07 12:39:58,323.0,0.400,3209625.600,4096.0,0.500,0.275,92.523,6.652,0.050,0.0,89814.400,88135.600,261201920.0,962560.0,304848896.0,30997061632.0
03-07 12:40:03,233.0,0.0,2421555.200,0.0,0.575,0.250,93.095,6.055,0.025,0.0,99568.0,97720.0,261685248.0,962560.0,327000064.0,30974427136.0
03-07 12:40:08,267.800,0.400,2640281.600,2457.600,0.750,0.350,94.250,4.575,0.075,0.0,129961.200,127390.0,261455872.0,1818624.0,348729344.0,30952071168.0
03-07 12:40:13,134.200,2.0,1377894.400,45056.0,0.851,0.325,96.246,2.528,0.050,0.0,157254.0,156352.0,260435968.0,1830912.0,363425792.0,30938382336.0
03-07 12:40:18,50.800,2.200,488243.200,11468.800,0.975,0.300,97.599,1.050,0.075,0.0,179021.400,175949.800,260517888.0,1830912.0,370610176.0,30931116032.0
03-07 12:40:23,22.600,0.600,226099.200,7372.800,1.001,0.325,98.149,0.450,0.075,0.0,187961.200,184735.600,260530176.0,1839104.0,375574528.0,30926131200.0
03-07 12:40:28,9.0,0.0,75366.400,0.0,1.001,0.300,98.199,0.425,0.075,0.0,190816.400,187517.600,260562944.0,1839104.0,377733120.0,30923939840.0
03-07 12:40:33,3.200,0.400,27852.800,2457.600,1.025,0.300,98.300,0.275,0.100,0.0,193142.800,189870.800,260632576.0,1847296.0,379305984.0,30922289152.0
03-07 12:40:38,0.600,0.400,4915.200,1638.400,1.026,0.300,98.474,0.125,0.075,0.0,191974.400,188587.600,260567040.0,1847296.0,380133376.0,30921527296.0
03-07 12:40:43,1.200,1.400,11468.800,14745.600,1.026,0.300,98.499,0.100,0.075,0.0,192950.0,189549.600,260857856.0,1855488.0,380764160.0,30920597504.0
03-07 12:40:48,0.0,0.400,0.0,9830.400,1.026,0.300,98.549,0.050,0.075,0.0,198182.400,194738.400,260804608.0,1863680.0,381149184.0,30920257536.0
03-07 12:40:53,0.0,1.400,0.0,8192.0,1.050,0.300,98.575,0.0,0.075,0.0,196353.600,192952.800,260911104.0,1863680.0,381329408.0,30919970816.0
03-07 12:40:58,0.0,0.600,0.0,3276.800,1.026,0.300,98.599,0.0,0.075,0.0,197166.400,193730.400,260747264.0,1871872.0,381452288.0,30920003584.0
03-07 12:41:03,0.0,0.0,0.0,0.0,1.050,0.300,98.550,0.0,0.100,0.0,197918.0,194434.800,260808704.0,1871872.0,381517824.0,30919876608.0
03-07 12:41:08,0.200,0.400,819.200,2457.600,0.050,0.050,99.850,0.050,0.0,0.0,7706.400,7965.800,259678208.0,1880064.0,381521920.0,30920994816.0
